staff_id,weekday,yesterday,before_yesterday,three_days_ago,is_leave
88,4,0,0,0,1
88,4,0,0,0,1
93,6,0,1,0,1
107,0,1,0,1,1
112,0,1,0,1,1
107,1,1,1,0,1
107,1,1,1,0,1
107,2,1,1,1,1
107,4,0,1,1,1
107,4,0,1,1,1
107,0,1,0,1,1
118,6,0,1,0,1
118,6,0,1,0,1
118,6,0,1,0,1
107,1,1,1,0,1
107,2,1,1,1,1
107,4,0,1,1,1
107,0,0,0,1,1
238,1,1,0,0,1
218,1,1,0,0,1
218,1,1,0,0,1
218,1,1,0,0,1
162,1,1,0,0,1
107,1,1,0,0,1
182,1,1,0,0,1
218,1,1,0,0,1
112,1,1,0,0,1
107,1,1,0,0,1
107,2,1,1,0,1
137,2,1,1,0,1
218,2,1,1,0,1
88,2,1,1,0,1
132,2,1,1,0,1
107,2,1,1,0,1
112,4,1,1,1,1
98,2,1,1,0,1
107,3,1,1,1,1
98,2,1,1,0,1
88,2,1,1,0,1
98,2,1,1,0,1
107,3,1,1,1,1
88,3,1,1,1,1
162,3,1,1,1,1
107,3,1,1,1,1
197,2,1,1,0,1
368,3,1,1,1,1
368,3,1,1,1,1
368,3,1,1,1,1
368,4,1,1,1,1
172,4,1,1,1,1
238,4,1,1,1,1
88,4,1,1,1,1
112,4,1,1,1,1
137,4,1,1,1,1
137,4,1,1,1,1
363,4,1,1,1,1
88,4,1,1,1,1
152,4,1,1,1,1
107,4,1,1,1,1
147,4,1,1,1,1
337,4,1,1,1,1
107,4,1,1,1,1
363,4,1,1,1,1
363,4,1,1,1,1
177,0,1,0,1,1
363,6,0,1,1,1
332,0,1,0,1,1
137,0,1,0,1,1
58,6,0,1,1,0
88,6,0,1,1,0
93,6,0,1,1,0
98,6,0,1,1,0
107,6,0,1,1,0
112,6,0,1,1,0
118,6,0,1,1,0
127,6,0,1,1,0
132,6,0,1,1,0
137,6,0,1,1,0
142,6,0,1,1,0
147,6,0,1,1,0
152,6,0,1,1,0
157,6,0,1,1,0
162,6,0,1,1,0
167,6,0,1,1,0
172,6,0,1,1,0
177,6,0,1,1,0
182,6,0,1,1,0
187,6,0,1,1,0
